,target,tracers,norm_rmse,r2,gap_fill_potential,gaps_needed_to_fill_for_regime,overlap_points_counted
10,C4H7NO5_CIMS,"['ISOPN_CIMS', 'C5H9NO5_CIMS', 'Isoprene_WAS', 'NO2_LIF']","[0.6856853243279109, 0.8648896351953878, 0.9306920275258441, 0.9996138251736068]","[0.5298356360013277, 0.25196591893158893, 0.1338123498998336, 0.0007722005217902783]","[0, 0, 13, 135]","[154, 154, 154, 154]","[1502, 1495, 185, 1499]"
11,ISOPN_CIMS,"['MACR_WAS', 'Isoprene', 'C4H7NO5_CIMS', 'NO2_LIF']","[0.5434955580520135, 0.7375787292008659, 0.9485794672379394, 0.9999874805974741]","[0.7046125783777304, 0.4559776182304358, 0.10019699433458695, 2.503864831637781e-05]","[13, 17, 0, 135]","[154, 154, 154, 154]","[185, 216, 1502, 1499]"
12,C5H10O3_CIMS,"['MACR_WAS', 'Isoprene']","[0.588660584202097, 0.8090934287652826]","[0.6534787166068459, 0.34536782352883877]","[12, 18]","[160, 160]","[185, 215]"
13,C5H9NO5_CIMS,"['MVK_MACR_PTR', 'Isoprene_WAS', 'NOy_LIF']","[0.8521336241293006, 0.9877532003285228, 0.9980328663954486]","[0.2738682866282638, 0.02434361524076134, 0.003930397594484436]","[83, 13, 142]","[161, 161, 161]","[1326, 185, 1493]"
14,C10H17NO4_CIMS,"['D5_siloxane_PTR', 'C5H9NO5_CIMS', 'NO2_LIF', 'Beta_Pinene_WAS', 'ISOPN_CIMS']","[0.8179985869759593, 0.8622000679506198, 0.9422266751748054, 0.9620272714046527, 0.9998723856778781]","[0.3308783117053341, 0.2566110428259466, 0.11220889258903177, 0.07450352907371871, 0.00025521235882863813]","[81, 2, 140, 13, 5]","[159, 159, 159, 159, 159]","[1328, 1493, 1494, 185, 1497]"
15,HNO3_CIMS,"['O3_ppbv', 'NO2_LIF', 'CO_Piccaro']","[0.7247796792476991, 0.9898634034419932, 0.9976545760579336]","[0.4746944165496024, 0.02017044252623401, 0.004685346870664797]","[112, 140, 135]","[159, 159, 159]","[1448, 1494, 1484]"
16,Methanol_PTR,"['CO_Piccaro', 'H2O_Piccaro']","[0.8547600359145974, 0.9814386745984899]","[0.2693852810032763, 0.03677812800235947]","[222, 222]","[247, 247]","[1397, 1397]"
17,Acetonitrile_PTR,"['CO_Piccaro', 'Acetylene', 'Ethyne_WAS', 'Benzene_PTR', 'CO2_Piccaro']","[0.6157096826639965, 0.871677705808978, 0.9043666463057768, 0.9361175757146605, 0.9605664594706136]","[0.6209015866738008, 0.24017797719559697, 0.18212096904964215, 0.12368388443810674, 0.0773120769400899]","[222, 5, 41, 0, 222]","[247, 247, 247, 247, 247]","[1397, 228, 157, 1407, 1397]"
18,Acetaldehyde_PTR,"['Acrolein_PTR', 'CO2_Piccaro', 'CO_Piccaro', 'Formaldehyde']","[0.5540135731743842, 0.6791318503805175, 0.798417721918731, 0.9328882205204684]","[0.6930689607385512, 0.5387799297987346, 0.36252914132610414, 0.12971956801415407]","[2, 224, 224, 200]","[249, 249, 249, 249]","[1407, 1395, 1395, 1407]"
19,Ethanol_PTR,"['D5_siloxane_PTR', 'Methanol_PTR', 'CO_Piccaro']","[0.39407764307794063, 0.7569711236446904, 0.7967327811610645]","[0.8447028112261352, 0.42699471796809474, 0.36521687542335535]","[0, 0, 222]","[247, 247, 247]","[1409, 1409, 1397]"
