Parameter,ParameterCode,MethodCode,RecordingMode,CollectionDescription,AnalysisDescription,CollectionType,MethodType,ReferenceMethodID,EquivalentMethod,FederalMDL,MinValue,MaxValue,Digits,RoundTruncateIndicator,Units,CarbonNumber,ChemicalFormula,APP_A_PARAMETERS,AQIPOLLUTANTS,BPOIL,COMBINABLE,CORE_HAPS,CRITERIA,CRITERIAGAS,CRITERIAPM,CSNCARBON,CSNDART,CSNIONS,CSNTRACEELEMENTS,CYLINDER_GASES,DESIGNVALUE,HAPS,IMPROVECARBON,IMPROVE_SPECIATION,KEYSAT,MET,NATTSCOREHAPS,NATTSREQUIRED,NPAPGASES,PAH,PAMS,PAMS_VOC,PEP,PMCOARSE,PM10SPECIATION,PM10_METAL,PM2.5CONTNONREF,PM2.5MASSALLMETHODS,PM2.5MASS/QA,PMP_REQUIRED,QUICKLOOK,SANDWICH,SATWEB,SCHOOLAIRTOXICS,SPECIATION,SPECIATIONCARBON,SPECIATIONCATION/ANION,SPECIATIONMETALS,TARGETSVOC,UATMPCARBONYL,UATMPVOC,VOC,Param-Method,NAAQS
n-Propylbenzene,45209,122,Intermittent,6L AMBIENT CANISTER,DUAL FID - PAMS,VOC_Canister,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45209-122,FALSE
n-Propylbenzene,45209,123,Intermittent,6L PRESSURIZED CANISTER,DUAL FID - PAMS,VOC_Canister,,,,0.01,-0.01,,1,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45209-123,FALSE
n-Propylbenzene,45209,125,Continuous,PRECONCENTRATION TRAP,CHROMPACK AUTOMATED GC- SUBAMB FID,VOC_GC,,,,0.136,-0.136,,3,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45209-125,FALSE
n-Propylbenzene,45209,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,VOC_Canister,,,,0.1,-0.1,,2,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45209-126,FALSE
n-Propylbenzene,45209,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,VOC_Canister,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45209-127,FALSE
n-Propylbenzene,45209,128,Continuous,PRECONCENTRATION TRAP,PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,VOC_GC,,,,0.01,-0.01,,2,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45209-128,FALSE
n-Propylbenzene,45209,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,VOC_Canister,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45209-129,FALSE
n-Propylbenzene,45209,135,Continuous,INSTRUMENTAL,ENTECH CRYFOCUS/VARIAN GC/FINN DTMS,VOC_GC,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45209-135,FALSE
n-Propylbenzene,45209,136,Continuous,INSTRUMENTAL,ENTECH 2000 W/ MS/FID,VOC_GC,,,,0.1,-0.1,,1,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45209-136,FALSE
n-Propylbenzene,45209,137,Continuous,Instrumental,AIRCO-VOC C6/C12 GC/FID,VOC_Chromatography,,,,0.54,-0.54,,2,R,Parts per billion Carbon,9,C9H12,,,BP OIL,,,,,,,,,,,,,,,,,,,,,PAMS,PAMS_VOC,,,,,,,,,,,,,,,,,,,,VOC,45209-137,FALSE
