ParameterCode,Parameter,MethodCode,RecordingMode,CollectionDescription,AnalysisDescription,CollectionType,Units
68103,Ambient Min Temperature,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Electronic,PM25 SPECIATION,Degrees Centigrade
68103,Ambient Min Temperature,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler,Electronic,PM25 SPECIATION,Degrees Centigrade
68103,Ambient Min Temperature,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Electronic,PM25 SPECIATION,Degrees Centigrade
68104,Ambient Max Temperature,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Electronic,PM25 SPECIATION,Degrees Centigrade
68104,Ambient Max Temperature,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler,Electronic,PM25 SPECIATION,Degrees Centigrade
68104,Ambient Max Temperature,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Electronic,PM25 SPECIATION,Degrees Centigrade
68104,Ambient Max Temperature,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler,Electronic,PM25 SPECIATION,Degrees Centigrade
68104,Ambient Max Temperature,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Electronic,PM25 SPECIATION,Degrees Centigrade
68105,Average Ambient Temperature,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Electronic,PM25 SPECIATION,Degrees Centigrade
68105,Average Ambient Temperature,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler,Electronic,PM25 SPECIATION,Degrees Centigrade
68105,Average Ambient Temperature,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Electronic,PM25 SPECIATION,Degrees Centigrade
68105,Average Ambient Temperature,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Air Sampler,Electronic,PM25 SPECIATION,Degrees Centigrade
68105,Average Ambient Temperature,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Electronic,PM25 SPECIATION,Degrees Centigrade
68106,Sample Min Baro Pressure,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68106,Sample Min Baro Pressure,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68106,Sample Min Baro Pressure,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68106,Sample Min Baro Pressure,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential AIr Sampler,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68106,Sample Min Baro Pressure,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68107,Sample Max Baro Pressure,118,Intermittent,R & P Model 2025 PM2.5 Sequent,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
68107,Sample Max Baro Pressure,145,Intermittent,R & P Model 2025 PM-2.5 FEM Sequential Sampler,Barometric Sensor,PM25 SPECIATION,Millimeters (mercury)
