Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2023-10-12 2",0.0226,0.0611,0.0882
"2023-10-12 3",0.0351,0.054,0.0962
"2023-10-12 4",0.0248,0.0555,0.0987
"2023-10-12 5",0.0317,0.0245,0.0827
"2023-10-12 6",0.0454,0.0778,0.0711
"2023-10-12 7",0.083,0.068,0.1566
"2023-10-12 8",0.0466,0.0885,0.0744
"2023-10-12 9",0.0417,0.0823,0.087
"2023-10-12 10",0.1207,0.0522,0.1125
"2023-10-12 11",0.2281,0.0836,0.0939
"2023-10-12 12",0.2168,0.0369,0.0891
"2023-10-12 13",0.1363,0.087,0.1061
"2023-10-12 14",0.143,0.134,0.1164
"2023-10-12 15",0.1736,0.1198,0.2207
"2023-10-12 16",0.2025,0.1973,0.2218
"2023-10-12 17",0.1917,0.1197,0.2034
"2023-10-12 18",0.169,0.1148,0.1844
"2023-10-12 19",0.1677,0.1093,0.2305
"2023-10-12 20",0.1712,0.1302,0.1995
"2023-10-12 21",0.1641,0.1251,0.1638
"2023-10-12 22",0.1753,0.1343,0.1609
"2023-10-12 23",0.2331,0.1272,0.1461
"2023-10-13 0",0.2023,0.1254,0.2546
"2023-10-13 1",0.1738,0.1159,0.2458
"2023-10-13 4",0.1954,0.1308,0.0942
"2023-10-13 5",0.2495,0.1144,0.1345
"2023-10-13 6",0.5899,0.1537,0.185
"2023-10-13 7",0.4269,0.1602,0.5415
"2023-10-13 8",0.3217,0.3167,0.155
"2023-10-13 9",0.3251,0.2906,0.3944
"2023-10-13 10",0.0981,0.1189,0.1808
"2023-10-13 11",0.101,0.1128,0.107
"2023-10-13 12",0.0631,0.0983,0.0547
"2023-10-13 13",0.0736,0.0832,0.0928
"2023-10-13 14",0.0881,0.0803,0.0791
"2023-10-13 15",0.0751,0.1,0.0836
"2023-10-13 16",0.0794,0.0808,0.088
"2023-10-13 17",0.0578,0.0675,0.0598
"2023-10-13 18",0.2039,0.1612,0.1727
"2023-10-13 19",0.2589,0.1694,0.3594
"2023-10-13 20",0.231,0.1464,0.4218
"2023-10-13 21",0.2798,0.2491,0.3789
"2023-10-13 22",0.2387,0.2161,0.3178
"2023-10-13 23",0.1935,0.197,0.2555
"2023-10-14 2",0.1387,0.1295,0.4147
"2023-10-14 3",0.1366,0.1484,0.3275
"2023-10-14 4",0.1033,0.1356,0.2944
"2023-10-14 5",0.235,0.1739,0.4646
"2023-10-14 6",0.2858,0.1384,0.2108
