Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2024-01-22 0",0.1861,0.1647,0
"2024-01-22 1",0.295,0,0
"2024-01-22 4",0.2035,0.2683,0
"2024-01-22 5",0.1849,0.3644,0
"2024-01-22 6",0.3233,0,0
"2024-01-22 7",0.192,0,0
"2024-01-22 8",0.5727,0,0
"2024-01-22 9",0.3031,0,0
"2024-01-22 10",0.1702,0,0
"2024-01-22 11",0.0655,0,0
"2024-01-22 12",0.0263,0,0
"2024-01-22 13",0,0,0
"2024-01-22 14",0.0233,0,0
"2024-01-22 15",0.011,0,0
"2024-01-22 16",0.0424,0,0
"2024-01-22 17",0.0783,0,0
"2024-01-22 18",0.1265,0,0
"2024-01-22 19",0.1353,0,0
"2024-01-22 20",0.2225,0,0
"2024-01-22 21",0.2412,0,0
"2024-01-22 22",0.1087,0,0
"2024-01-22 23",0.1006,0,0
"2024-01-23 2",0.1034,0,0
"2024-01-23 3",0.129,0,0
"2024-01-23 4",0.0847,0,0
"2024-01-23 5",0.0834,0.0905,0
"2024-01-23 6",0.1688,0.1485,0
"2024-01-23 7",0.2591,0.2046,0
"2024-01-23 8",0.4517,0.3412,0
"2024-01-23 9",0.3212,0.1298,0
"2024-01-23 10",0.2363,0.2158,0
"2024-01-23 11",0.176,0.2211,0
"2024-01-23 12",0.2229,0.26,0
"2024-01-23 13",0.0532,0.1677,0
"2024-01-23 14",0.0363,0,0
"2024-01-23 15",0.0437,0,0
"2024-01-23 16",0,0,0
"2024-01-23 17",0.0571,0,0
"2024-01-23 18",0.0415,0,0
"2024-01-23 19",0.0318,0,0
"2024-01-23 20",0.0748,0,0
"2024-01-23 21",0.1,0,0
"2024-01-23 22",0.0655,0,0
"2024-01-23 23",0.0367,0,0
"2024-01-24 0",0.087,0,0
"2024-01-24 1",0.121,0,0
"2024-01-24 4",0.0161,0,0
"2024-01-24 5",0.0213,0,0
"2024-01-24 6",0.0505,0,0
"2024-01-24 7",0.1266,0,0
"2024-01-24 8",0.3057,0,0
"2024-01-24 9",0.0629,0,0
"2024-01-24 10",0,0,0
"2024-01-24 11",0.0168,0,0
"2024-01-24 12",0,0,0
"2024-01-24 13",0.0089,0,0
"2024-01-24 14",0,0,0
"2024-01-24 15",0,0,0
"2024-01-24 16",0,0,0
"2024-01-24 17",0.0214,0,0
"2024-01-24 18",0.1351,0,0
"2024-01-24 19",0.1323,0,0
"2024-01-24 20",0.1259,0,0
"2024-01-24 21",0.2114,0,0
"2024-01-24 22",0.201,0,0
"2024-01-24 23",0.2151,0,0
"2024-01-25 2",0.2018,0.1013,0
"2024-01-25 3",0.1911,0,0
"2024-01-25 4",0.1825,0,0
"2024-01-25 5",0.1171,0,0
"2024-01-25 6",0.1107,0,0
"2024-01-25 7",0.0577,0,0
"2024-01-25 8",0.2039,0,0
"2024-01-25 9",0.1161,0,0
"2024-01-25 10",0.0522,0,0
"2024-01-25 11",0.0339,0,0
"2024-01-25 12",0.0556,0,0
"2024-01-25 13",0.0881,0,0
"2024-01-25 14",0.1118,0.2586,0
"2024-01-25 15",0.0624,0,0
"2024-01-25 16",0.096,0,0
"2024-01-25 17",0.0535,0,0
"2024-01-25 18",0.044,0,0
"2024-01-25 19",0,0,0
"2024-01-25 20",0,0,0
"2024-01-25 21",0,0,0
"2024-01-25 22",0,0,0
"2024-01-25 23",0.0235,0,0
"2024-01-26 0",0.043,0,0
"2024-01-26 1",0.0389,0,0
"2024-01-26 4",0,0,0
"2024-01-26 5",0,0,0
"2024-01-26 6",0,0,0
"2024-01-26 7",0.104,0,0
"2024-01-26 8",0.1733,0,0
"2024-01-26 9",0.0825,0,0
"2024-01-26 10",0.0482,0,0
"2024-01-26 11",0,0,0
"2024-01-26 12",0,0,0
"2024-01-26 13",0,0,0
"2024-01-26 14",0,0,0
"2024-01-26 15",0,0,0
"2024-01-26 16",0,0,0
"2024-01-26 17",0,0,0
"2024-01-26 18",0.0667,0,0
"2024-01-26 19",0.2576,0,0
"2024-01-26 20",0.0807,0,0
"2024-01-26 21",0.0198,0,0
"2024-01-26 22",0.0424,0,0
"2024-01-26 23",0.1118,0,0
"2024-01-27 2",0.1455,0,0
"2024-01-27 3",0.1541,0,0
"2024-01-27 4",0.1754,0,0
"2024-01-27 5",0.19,0,0
"2024-01-27 6",0.1683,0,0
"2024-01-27 7",0.1072,0,0
"2024-01-27 8",0.1776,0,0
