Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-01-21 13",0,0.0162,0
"2025-01-21 14",0,0.0218,0.0256
"2025-01-21 15",0,0.0349,0.0076
"2025-01-21 16",0,0.0118,0
"2025-01-21 17",0.0302,0.0035,0.0693
"2025-01-21 18",0,0.0127,0.0035
"2025-01-21 19",0,0.0144,0.0564
"2025-01-21 20",0.0575,0.092,0.0384
"2025-01-21 21",0.173,0.1057,0.0784
"2025-01-21 22",0.0422,0.0465,0.0638
"2025-01-21 23",0,0.003,0.0105
"2025-01-22 2",0,0.0218,0
"2025-01-22 3",0,0.0201,0.0131
"2025-01-22 4",0,0.0214,0.0033
"2025-01-22 5",0,0.0107,0
"2025-01-22 6",0,0.0806,0.0238
"2025-01-22 7",0,0,0.0467
"2025-01-22 8",0.0654,0.0275,0.0179
"2025-01-22 9",0,0.0242,0.0219
"2025-01-22 10",0,0.0284,0
"2025-01-22 11",0,0.0061,0.0312
"2025-01-22 12",0,0.0441,0
"2025-01-22 13",0,0.003,0.0105
"2025-01-22 14",0,0.0341,0
"2025-01-22 15",0,0.007,0.017
"2025-01-22 16",0,0.0231,0
"2025-01-22 17",0,0.0546,0
"2025-01-22 18",0,0.0053,0
"2025-01-22 19",0,0.0716,0.0044
"2025-01-22 20",0,0.0339,0.0101
"2025-01-22 21",0.0496,0.0124,0.0507
"2025-01-22 22",0,0.0655,0.0238
"2025-01-22 23",0,0.0255,0.012
"2025-01-23 0",0,0.0212,0.0636
"2025-01-23 1",0,0.0273,0
"2025-01-23 4",0,0.0234,0.0229
"2025-01-23 5",0,0.0116,0.0561
"2025-01-23 6",0,0.0096,0.0804
"2025-01-23 7",0,0.0527,0.0762
"2025-01-23 8",0,0.0234,0.007
"2025-01-23 9",0,0,0.0374
"2025-01-23 10",0,0.0059,0
"2025-01-23 11",0,0.0227,0
"2025-01-23 12",0,0.0275,0
"2025-01-23 13",0,0.0111,0
"2025-01-23 14",0,0.0118,0.0096
"2025-01-23 15",0,0.005,0.0164
"2025-01-23 16",0,0.0083,0.0273
"2025-01-23 17",0,0.0223,0.009
"2025-01-23 18",0,0.0535,0.0199
"2025-01-23 19",0,0.0109,0.0413
"2025-01-23 20",0.0501,0.0917,0.0585
