Date,ISOPRENE,ALPHA-PINENE,BETA-PINENE
"2025-02-27 18",0.0702,0.2344,0.4979
"2025-02-27 19",0.1345,0.3364,0.46
"2025-02-27 20",0.1861,0.275,0.3727
"2025-02-27 21",0.3784,0.422,0.4519
"2025-02-27 22",0.4747,0.3401,0.3901
"2025-02-27 23",0.6883,0.4046,0.4927
"2025-02-28 0",0.8081,0.4115,0.5405
"2025-02-28 1",0.6831,0.4172,0.4847
"2025-02-28 4",0.5269,0.3234,0.4274
"2025-02-28 5",0.6701,0.3243,0.4465
"2025-02-28 6",0.8839,0.404,0.4044
"2025-02-28 7",1.2625,0.3935,0.4027
"2025-02-28 8",0.9023,0.5689,0.4545
"2025-02-28 9",0.3873,0.4717,0.4945
"2025-02-28 10",0.1533,0.5429,0.5003
"2025-02-28 11",0.1373,0.4304,0.3599
"2025-02-28 12",0.0481,0.2735,0.4152
"2025-02-28 13",0.0388,0.2448,0.4437
"2025-02-28 14",0.0487,0.2835,0.433
"2025-02-28 15",0.0303,0.2483,0.4537
"2025-02-28 16",0.0305,0.2754,0.5164
"2025-02-28 17",0.0334,0.264,0.5492
"2025-02-28 18",0.0746,0.288,0.5433
"2025-02-28 19",0.0934,0.2878,0.4682
"2025-02-28 20",0.1652,0.3245,0.4795
"2025-02-28 21",0.7979,0.4823,0.5442
"2025-02-28 22",1.4339,0.6145,0.5531
"2025-02-28 23",1.2108,0.5236,0.5427
"2025-03-01 2",0.6094,0.3857,0.4498
"2025-03-01 3",0.7488,0.3746,0.4103
"2025-03-01 4",0.6133,0.3555,0.384
"2025-03-01 5",0.8176,0.3874,0.3974
"2025-03-01 6",0.9454,0.3963,0.3924
"2025-03-01 7",1.1369,0.4231,0.405
"2025-03-01 8",0.7233,0.4823,0.3885
"2025-03-01 9",0.217,0.3573,0.3486
"2025-03-01 10",0.0965,0.3772,0.3746
"2025-03-01 11",0.054,0.3742,0.3823
"2025-03-01 12",0.0485,0.3186,0.4287
"2025-03-01 13",0.0396,0.2894,0.4434
"2025-03-01 14",0.0281,0.3035,0.534
"2025-03-01 15",0.0184,0.2383,0.4586
"2025-03-01 16",0,0.2629,0.423
"2025-03-01 17",0.0269,0.257,0.5661
"2025-03-01 18",0.0771,0.3111,0.5859
"2025-03-01 19",0.1165,0.3004,0.4415
"2025-03-01 20",0.251,0.3569,0.4128
"2025-03-01 23",1.4537,0.5924,0.6657
"2025-03-02 0",0.7362,0.4348,0.4231
"2025-03-02 1",0.7009,0.4263,0.4079
"2025-03-02 5",0.5522,0.3282,0.3586
"2025-03-02 6",0.4205,0.3047,0.3174
"2025-03-02 7",0.3588,0.3189,0.2837
"2025-03-02 8",0.3149,0.5006,0.3512
"2025-03-02 9",0.0904,0.2919,0.3738
"2025-03-02 10",0.056,0.2333,0.3723
"2025-03-02 11",0.0492,0.1888,0.275
"2025-03-02 12",0.0492,0.1736,0.3317
"2025-03-02 13",0.0516,0.1938,0.3829
"2025-03-02 14",0.0413,0.1708,0.3375
"2025-03-02 15",0,0,0
"2025-03-02 16",0,0,0
"2025-03-02 17",AI,AI,AI
"2025-03-02 18",0,0,0
"2025-03-06 15",0.122,0.9499,3.5387
"2025-03-06 16",0.0316,0.4725,1.1077
"2025-03-06 17",2.0866,0.3848,0.8628
"2025-03-06 18",0.0398,0.336,0.7862
"2025-03-06 19",0.0415,0.2883,0.684
"2025-03-06 20",0.039,0.3089,0.7284
"2025-03-06 21",0.0239,0.2446,0.639
"2025-03-06 22",0.0251,0.3119,0.5511
"2025-03-06 23",0,0.2218,0.4912
"2025-03-07 2",0,0.1999,0.4459
"2025-03-07 3",0.0138,0.1775,0.5765
"2025-03-07 4",0,0.2244,0.451
"2025-03-07 5",0.014,0.1895,0.3862
"2025-03-07 6",0.0558,0.1832,0.3872
"2025-03-07 7",0.035,0.2006,0.3733
"2025-03-07 8",0.0297,0.249,0.3486
"2025-03-07 9",0.0107,0.2342,0.3963
"2025-03-07 10",0.0223,0.2064,0.3263
"2025-03-07 11",0,0.1769,0.3419
"2025-03-07 12",0.0123,0.2064,0.4109
"2025-03-07 13",0.0152,0.1778,0.394
"2025-03-07 14",0.0085,0.1773,0.4159
"2025-03-07 15",0.0206,0.2203,0.374
"2025-03-07 16",0.0127,0.1684,0.3696
"2025-03-07 17",0.0188,0.1736,0.3484
"2025-03-07 18",0,0.1953,0.3855
"2025-03-07 19",0.0285,0.2672,0.3972
"2025-03-07 20",0,0.2077,0.3985
"2025-03-07 21",0.035,0.2498,0.3605
"2025-03-07 22",0.0372,0.2027,0.4612
"2025-03-07 23",0.192,0.2602,0.3134
"2025-03-08 0",0.104,0.1919,0.3336
"2025-03-08 1",0.1062,0.255,0.2692
"2025-03-08 4",0.1034,0.1986,0.2056
"2025-03-08 5",0.1133,0.2147,0.3002
"2025-03-08 6",0.2209,0.2624,0.1765
"2025-03-08 7",0.2538,0.2527,0.1949
"2025-03-08 8",0.0833,0.2253,0.2468
"2025-03-08 9",0.0103,0.2683,0.3085
"2025-03-08 10",0,0.1964,0.2852
"2025-03-08 11",0,0.1934,0.3284
