value,removed_from,kept_in
INAHPCO2H,hydroperoxides_arr,rono2_arr
INAHPCO2H,ovocs_arr,rono2_arr
INANCO2H,carboxylic_acids_arr,rono2_arr
INANCO2H,ovocs_arr,rono2_arr
INB1NBCO2H,carboxylic_acids_arr,rono2_arr
INB1NBCO2H,ovocs_arr,rono2_arr
TLBIPERNO3,ovocs_arr,rono2_arr
MXYMUCNO3,ovocs_arr,rono2_arr
NNCATECOOH,hydroperoxides_arr,rono2_arr
NNCATECOOH,ovocs_arr,rono2_arr
MXNNCATOOH,hydroperoxides_arr,rono2_arr
MXNNCATOOH,ovocs_arr,rono2_arr
NDNCRESOOH,hydroperoxides_arr,rono2_arr
NDNCRESOOH,ovocs_arr,rono2_arr
IPRFORMNO3,ovocs_arr,rono2_arr
C93NO3,ovocs_arr,rono2_arr
NC524NO3,ovocs_arr,rono2_arr
BZBIPERNO3,ovocs_arr,rono2_arr
NC102OOH,hydroperoxides_arr,rono2_arr
NC102OOH,ovocs_arr,rono2_arr
NDNOXYLOOH,hydroperoxides_arr,rono2_arr
NDNOXYLOOH,ovocs_arr,rono2_arr
INDOH,ovocs_arr,rono2_arr
NOETOLOH,ovocs_arr,rono2_arr
NC41OO,ovocs_arr,rono2_arr
SBUACBNO3,ovocs_arr,rono2_arr
C6OH5NO3,ovocs_arr,rono2_arr
TM124BPNO3,ovocs_arr,rono2_arr
MMCFNO3,ovocs_arr,rono2_arr
C66NO35CO,ovocs_arr,rono2_arr
NEBFUOOH,hydroperoxides_arr,rono2_arr
NEBFUOOH,ovocs_arr,rono2_arr
NPXYFUOOH,hydroperoxides_arr,rono2_arr
NPXYFUOOH,ovocs_arr,rono2_arr
LIMANO3,ovocs_arr,rono2_arr
NDNEBZLOOH,hydroperoxides_arr,rono2_arr
NDNEBZLOOH,ovocs_arr,rono2_arr
NTM135OLOH,ovocs_arr,rono2_arr
HNMVKOH,ovocs_arr,rono2_arr
LIMBNO3,ovocs_arr,rono2_arr
MNNCATCOOH,hydroperoxides_arr,rono2_arr
MNNCATCOOH,ovocs_arr,rono2_arr
MMALNACO2H,carboxylic_acids_arr,rono2_arr
MMALNACO2H,ovocs_arr,rono2_arr
BOXPOLANO3,ovocs_arr,rono2_arr
CONO3C6OOH,hydroperoxides_arr,rono2_arr
CONO3C6OOH,ovocs_arr,rono2_arr
PETLMUCNO3,ovocs_arr,rono2_arr
C915NO3,ovocs_arr,rono2_arr
HO2C5NO3,ovocs_arr,rono2_arr
C63NO32OOH,hydroperoxides_arr,rono2_arr
HM33C4NO3,ovocs_arr,rono2_arr
C919NO3,ovocs_arr,rono2_arr
INB1NACO3H,ovocs_arr,rono2_arr
C131NO3,ovocs_arr,rono2_arr
PXNNCATOOH,hydroperoxides_arr,rono2_arr
PXNNCATOOH,ovocs_arr,rono2_arr
NMXYQOOH,hydroperoxides_arr,rono2_arr
NMXYQOOH,ovocs_arr,rono2_arr
CO2N3CHO,ovocs_arr,rono2_arr
NLMKAOOH,hydroperoxides_arr,rono2_arr
NLMKAOOH,ovocs_arr,rono2_arr
BOXEOHANO3,ovocs_arr,rono2_arr
C626NO3,ovocs_arr,rono2_arr
C4MCNO3OOH,hydroperoxides_arr,rono2_arr
C4MCNO3OOH,ovocs_arr,rono2_arr
BUTDBNO3,ovocs_arr,rono2_arr
HO1MC5NO3,ovocs_arr,rono2_arr
C3MNO3CO3H,ovocs_arr,rono2_arr
APINCNO3,ovocs_arr,rono2_arr
IPRACNO3,ovocs_arr,rono2_arr
DMEBIPNO3,ovocs_arr,rono2_arr
NC623OH,ovocs_arr,rono2_arr
HO1C5NO3,ovocs_arr,rono2_arr
NTM123OLOH,ovocs_arr,rono2_arr
CO2N3CO3H,ovocs_arr,rono2_arr
PBZMUCNO3,ovocs_arr,rono2_arr
NC101OOH,hydroperoxides_arr,rono2_arr
NC101OOH,ovocs_arr,rono2_arr
C66NO35OOH,hydroperoxides_arr,rono2_arr
C53NO324CO,ovocs_arr,rono2_arr
NTM124QOOH,hydroperoxides_arr,rono2_arr
NTM124QOOH,ovocs_arr,rono2_arr
INAHCO2H,carboxylic_acids_arr,rono2_arr
INAHCO2H,ovocs_arr,rono2_arr
MPRBNO3OOH,hydroperoxides_arr,rono2_arr
NTM124OLOH,ovocs_arr,rono2_arr
C4NO3CO3H,ovocs_arr,rono2_arr
NPBNZOLOH,ovocs_arr,rono2_arr
OXNNCATOOH,hydroperoxides_arr,rono2_arr
OXNNCATOOH,ovocs_arr,rono2_arr
BCSOZNO3,ovocs_arr,rono2_arr
C1211NO3,carboxylic_acids_arr,rono2_arr
NBPINBOOH,hydroperoxides_arr,rono2_arr
INANCOCHO,ovocs_arr,rono2_arr
INAOH,ovocs_arr,rono2_arr
C77NO3,ovocs_arr,rono2_arr
BPINBNO3,ovocs_arr,rono2_arr
TLEMUCNO3,ovocs_arr,rono2_arr
C1310NO3,carboxylic_acids_arr,rono2_arr
C1310NO3,ovocs_arr,rono2_arr
HO1C3NO3,ovocs_arr,rono2_arr
NC91CHO,ovocs_arr,rono2_arr
C717NO3,ovocs_arr,rono2_arr
NC51OOH,hydroperoxides_arr,rono2_arr
NC51OOH,ovocs_arr,rono2_arr
T124NNCOOH,hydroperoxides_arr,rono2_arr
T124NNCOOH,ovocs_arr,rono2_arr
INCGLYOX,ovocs_arr,rono2_arr
IBUALANO3,ovocs_arr,rono2_arr
C51NO32CO,ovocs_arr,rono2_arr
C103NO3,ovocs_arr,rono2_arr
INCNCO2H,carboxylic_acids_arr,rono2_arr
INCNCO2H,ovocs_arr,rono2_arr
NIPBNZOLOH,ovocs_arr,rono2_arr
NPPRBQOOH,hydroperoxides_arr,rono2_arr
NPPRBQOOH,ovocs_arr,rono2_arr
NPRACCNO3,ovocs_arr,rono2_arr
ME2BUOLNO3,ovocs_arr,rono2_arr
MACRNBCO2H,carboxylic_acids_arr,rono2_arr
MACRNBCO2H,ovocs_arr,rono2_arr
NDMEPLOOH,hydroperoxides_arr,rono2_arr
NDMEPLOOH,ovocs_arr,rono2_arr
HO24C5NO3,ovocs_arr,rono2_arr
C57NO3CO2H,carboxylic_acids_arr,rono2_arr
C57NO3CO2H,ovocs_arr,rono2_arr
EOX2OLANO3,ovocs_arr,rono2_arr
C731NO3,ovocs_arr,rono2_arr
TM123MUNO3,ovocs_arr,rono2_arr
NDEMPHOLOH,ovocs_arr,rono2_arr
C52NO33OOH,hydroperoxides_arr,rono2_arr
NC1313OOH,hydroperoxides_arr,rono2_arr
NC1313OOH,ovocs_arr,rono2_arr
IPBZBPRNO3,ovocs_arr,rono2_arr
PRNO3CO2H,carboxylic_acids_arr,rono2_arr
MPRNO3CO3H,ovocs_arr,rono2_arr
NOETLQOOH,hydroperoxides_arr,rono2_arr
NOETLQOOH,ovocs_arr,rono2_arr
IBUTOLCNO3,ovocs_arr,rono2_arr
HO3C6NO3,ovocs_arr,rono2_arr
NSTYRENOOH,hydroperoxides_arr,rono2_arr
CO3C4NO3OH,ovocs_arr,rono2_arr
CONM2CHO,ovocs_arr,rono2_arr
MMALNBCO3H,ovocs_arr,rono2_arr
NC826OOH,hydroperoxides_arr,rono2_arr
NC826OOH,ovocs_arr,rono2_arr
NIPBFUOOH,hydroperoxides_arr,rono2_arr
NIPBFUOOH,ovocs_arr,rono2_arr
MIPKBNO3,ovocs_arr,rono2_arr
PNNCATCOOH,hydroperoxides_arr,rono2_arr
PNNCATCOOH,ovocs_arr,rono2_arr
CONM2CO2H,carboxylic_acids_arr,rono2_arr
BU1ENO3OOH,hydroperoxides_arr,rono2_arr
BCKANO3,ovocs_arr,rono2_arr
C52NO31CO,ovocs_arr,rono2_arr
HMVKNGLYOX,ovocs_arr,rono2_arr
C54NO3,ovocs_arr,rono2_arr
C116NO3,ovocs_arr,rono2_arr
C6CONO34OH,ovocs_arr,rono2_arr
C128NO3,ovocs_arr,rono2_arr
NTMB1FUOOH,hydroperoxides_arr,rono2_arr
NTMB1FUOOH,ovocs_arr,rono2_arr
CO1H63NO3,ovocs_arr,rono2_arr
MVKOHANO3,ovocs_arr,rono2_arr
CYHXONANO3,ovocs_arr,rono2_arr
M3BU2OLNO3,ovocs_arr,rono2_arr
NC4OO,ovocs_arr,rono2_arr
H1MC5NO3,ovocs_arr,rono2_arr
HO2C4NO3,ovocs_arr,rono2_arr
NBCALOOH,hydroperoxides_arr,rono2_arr
NBCALOOH,ovocs_arr,rono2_arr
CNO3CLOH,ovocs_arr,rono2_arr
NBPINAOOH,hydroperoxides_arr,rono2_arr
MBOBNO3,ovocs_arr,rono2_arr
BCANO3,ovocs_arr,rono2_arr
INANCOCO2H,carboxylic_acids_arr,rono2_arr
C4M3NO3ONE,ovocs_arr,rono2_arr
NC101CO,ovocs_arr,rono2_arr
C831NO3,ovocs_arr,rono2_arr
BUTDANO3,ovocs_arr,rono2_arr
NBUTDAOOH,hydroperoxides_arr,rono2_arr
NC728OOH,hydroperoxides_arr,rono2_arr
NC728OOH,ovocs_arr,rono2_arr
HO1C4NO3,ovocs_arr,rono2_arr
HO3C4NO3,ovocs_arr,rono2_arr
C47CO3H,ovocs_arr,rono2_arr
NTM135LOOH,hydroperoxides_arr,rono2_arr
NTM135LOOH,ovocs_arr,rono2_arr
C4NO3M2OOH,hydroperoxides_arr,rono2_arr
C512NO3,ovocs_arr,rono2_arr
HEX2ONANO3,ovocs_arr,rono2_arr
NPRACBNO3,ovocs_arr,rono2_arr
MPRBNO3CHO,ovocs_arr,rono2_arr
C142NO3,ovocs_arr,rono2_arr
