dt,Mobile Lab O3,UDAQ O3,merged_ozone,8hr_rolling_avg_Mobile Lab O3,MDA8_O3_Mobile Lab O3,Exceedance_day_Mobile Lab O3,8hr_rolling_avg_UDAQ O3,MDA8_O3_UDAQ O3,Exceedance_day_UDAQ O3,8hr_rolling_avg_merged_ozone,MDA8_O3_merged_ozone,Exceedance_day_merged_ozone
2024-08-06 16:00:00,78.25411111111111,75.0,78.25411111111111,60.066185083313115,64.76289351265855,False,59.5,63.125,False,60.066185083313115,64.76289351265855,False
2024-08-06 17:00:00,70.08466666666666,65.0,70.08466666666666,63.482573972202005,64.76289351265855,False,62.375,63.125,False,63.482573972202005,64.76289351265855,False
2024-08-06 18:00:00,60.73018717915021,58.0,60.73018717915021,64.76289351265855,64.76289351265855,False,63.125,63.125,False,64.76289351265855,64.76289351265855,False
2024-08-06 19:00:00,56.167500000000004,53.0,56.167500000000004,64.3536692307271,64.76289351265855,False,62.375,63.125,False,64.3536692307271,64.76289351265855,False
2024-08-06 20:00:00,45.70511111111111,41.0,45.70511111111111,62.859801175171555,64.76289351265855,False,60.625,63.125,False,62.859801175171555,64.76289351265855,False
2024-08-06 21:00:00,43.88516666666666,43.0,43.88516666666666,61.11581506406044,64.76289351265855,False,58.75,63.125,False,61.11581506406044,64.76289351265855,False
2024-08-06 22:00:00,46.43994444444445,45.0,46.43994444444445,58.97832200850489,64.76289351265855,False,56.375,63.125,False,58.97832200850489,64.76289351265855,False
2024-08-06 23:00:00,43.63488888888889,41.0,43.63488888888889,55.61269700850489,64.76289351265855,False,52.625,63.125,False,55.61269700850489,64.76289351265855,False
2024-08-07 00:00:00,40.72611111111111,39.0,40.72611111111111,50.921697008504886,66.37645519621569,False,48.125,64.125,False,50.921697008504886,66.37645519621569,False
2024-08-07 01:00:00,37.41905555555555,34.0,37.41905555555555,46.838495619616,66.37645519621569,False,44.25,64.125,False,46.838495619616,66.37645519621569,False
2024-08-07 02:00:00,33.51733333333333,31.0,33.51733333333333,43.43688888888889,66.37645519621569,False,40.875,64.125,False,43.43688888888889,66.37645519621569,False
2024-08-07 03:00:00,38.11222222222222,36.0,38.11222222222222,41.17997916666666,66.37645519621569,False,38.75,64.125,False,41.17997916666666,66.37645519621569,False
2024-08-07 04:00:00,32.603944444444444,30.0,32.603944444444444,39.54233333333333,66.37645519621569,False,37.375,64.125,False,39.54233333333333,66.37645519621569,False
2024-08-07 05:00:00,29.18477777777778,,29.18477777777778,37.70478472222222,66.37645519621569,False,36.57142857142857,64.125,False,37.70478472222222,66.37645519621569,False
2024-08-07 06:00:00,27.041555555555554,25.0,27.041555555555554,35.27998611111111,66.37645519621569,False,33.714285714285715,64.125,False,35.27998611111111,66.37645519621569,False
2024-08-07 07:00:00,27.04083333333333,25.0,27.04083333333333,33.205729166666664,66.37645519621569,False,31.428571428571427,64.125,False,33.205729166666664,66.37645519621569,False
2024-08-07 08:00:00,23.5295,25.0,23.5295,31.05615277777778,66.37645519621569,False,29.428571428571427,64.125,False,31.05615277777778,66.37645519621569,False
2024-08-07 09:00:00,35.870444444444445,36.0,35.870444444444445,30.86257638888889,66.37645519621569,False,29.714285714285715,64.125,False,30.86257638888889,66.37645519621569,False
2024-08-07 10:00:00,50.46416666666667,53.0,50.46416666666667,32.98093055555555,66.37645519621569,False,32.857142857142854,64.125,False,32.98093055555555,66.37645519621569,False
2024-08-07 11:00:00,61.69566666666667,61.0,61.69566666666667,35.92886111111111,66.37645519621569,False,36.42857142857143,64.125,False,35.92886111111111,66.37645519621569,False
2024-08-07 12:00:00,70.61533333333333,70.0,70.61533333333333,40.680284722222225,66.37645519621569,False,42.142857142857146,64.125,False,40.680284722222225,66.37645519621569,False
2024-08-07 13:00:00,73.82855234631577,72.0,73.82855234631577,46.26075654328947,66.37645519621569,False,45.875,64.125,False,46.26075654328947,66.37645519621569,False
2024-08-07 14:00:00,76.7160942059451,73.0,76.7160942059451,52.47007387458817,66.37645519621569,False,51.875,64.125,False,52.47007387458817,66.37645519621569,False
2024-08-07 15:00:00,65.27134418912605,65.0,65.27134418912605,57.24888773156225,66.37645519621569,False,56.875,64.125,False,57.24888773156225,66.37645519621569,False
2024-08-07 16:00:00,64.11579522348441,60.0,64.11579522348441,62.322174634497806,66.37645519621569,False,61.25,64.125,False,62.322174634497806,66.37645519621569,False
