time_local,Mobile Lab O3,time_UTC
2024-07-22 18:00:00,67.70800796808574,2024-07-23 00:00:00
2024-07-22 19:00:00,67.0300036644649,2024-07-23 01:00:00
2024-07-22 20:00:00,64.56664608818025,2024-07-23 02:00:00
2024-07-22 21:00:00,58.87566666666667,2024-07-23 03:00:00
2024-07-22 22:00:00,55.372055555555555,2024-07-23 04:00:00
2024-07-22 23:00:00,59.26525,2024-07-23 05:00:00
2024-07-23 00:00:00,60.91466666666667,2024-07-23 06:00:00
2024-07-23 01:00:00,65.73233333333333,2024-07-23 07:00:00
2024-07-23 02:00:00,65.76908333333333,2024-07-23 08:00:00
2024-07-23 03:00:00,65.62961111111112,2024-07-23 09:00:00
2024-07-23 04:00:00,65.42722222222223,2024-07-23 10:00:00
2024-07-23 05:00:00,65.32747222222223,2024-07-23 11:00:00
2024-07-23 06:00:00,52.911944444444444,2024-07-23 12:00:00
2024-07-23 07:00:00,43.63836111111111,2024-07-23 13:00:00
2024-07-23 08:00:00,42.717305555555555,2024-07-23 14:00:00
2024-07-23 09:00:00,38.91325,2024-07-23 15:00:00
2024-07-23 10:00:00,46.665221102005816,2024-07-23 16:00:00
2024-07-23 11:00:00,53.134077762209444,2024-07-23 17:00:00
2024-07-23 12:00:00,66.41428571428578,2024-07-23 18:00:00
2024-07-23 13:00:00,,2024-07-23 19:00:00
2024-07-23 14:00:00,,2024-07-23 20:00:00
2024-07-23 15:00:00,,2024-07-23 21:00:00
2024-07-23 16:00:00,83.50617664742664,2024-07-23 22:00:00
2024-07-23 17:00:00,82.93049012213946,2024-07-23 23:00:00
2024-07-23 18:00:00,76.90821035766571,2024-07-24 00:00:00
2024-07-23 19:00:00,71.0856111111111,2024-07-24 01:00:00
2024-07-23 20:00:00,62.99044444444444,2024-07-24 02:00:00
2024-07-23 21:00:00,57.61716666666667,2024-07-24 03:00:00
2024-07-23 22:00:00,58.67502777777778,2024-07-24 04:00:00
2024-07-23 23:00:00,55.6415,2024-07-24 05:00:00
2024-07-24 00:00:00,60.40255555555555,2024-07-24 06:00:00
2024-07-24 01:00:00,60.75919444444445,2024-07-24 07:00:00
2024-07-24 02:00:00,63.40122222222222,2024-07-24 08:00:00
2024-07-24 03:00:00,60.512277777777776,2024-07-24 09:00:00
2024-07-24 04:00:00,46.856027777777776,2024-07-24 10:00:00
2024-07-24 05:00:00,52.416388888888896,2024-07-24 11:00:00
2024-07-24 06:00:00,45.60205555555556,2024-07-24 12:00:00
2024-07-24 07:00:00,43.67052777777778,2024-07-24 13:00:00
2024-07-24 08:00:00,43.08822222222222,2024-07-24 14:00:00
2024-07-24 09:00:00,46.13536111111111,2024-07-24 15:00:00
2024-07-24 10:00:00,57.55430555555555,2024-07-24 16:00:00
2024-07-24 11:00:00,71.15788888888889,2024-07-24 17:00:00
2024-07-24 12:00:00,79.31180555555555,2024-07-24 18:00:00
2024-07-24 13:00:00,84.18919444444444,2024-07-24 19:00:00
2024-07-24 14:00:00,84.32458333333334,2024-07-24 20:00:00
2024-07-24 15:00:00,86.65594444444444,2024-07-24 21:00:00
2024-07-24 16:00:00,86.91280555555555,2024-07-24 22:00:00
2024-07-24 17:00:00,85.72141666666667,2024-07-24 23:00:00
2024-07-24 18:00:00,79.08449233169459,2024-07-25 00:00:00
2024-07-24 19:00:00,73.20402777777778,2024-07-25 01:00:00
2024-07-24 20:00:00,61.848648241466876,2024-07-25 02:00:00
2024-07-24 21:00:00,57.16585556663564,2024-07-25 03:00:00
2024-07-24 22:00:00,53.23161111111111,2024-07-25 04:00:00
2024-07-24 23:00:00,44.03294444444444,2024-07-25 05:00:00
2024-07-25 00:00:00,42.130916666666664,2024-07-25 06:00:00
2024-07-25 01:00:00,47.83980555555556,2024-07-25 07:00:00
2024-07-25 02:00:00,48.10952777777778,2024-07-25 08:00:00
2024-07-25 03:00:00,44.43972222222222,2024-07-25 09:00:00
2024-07-25 04:00:00,49.343694444444445,2024-07-25 10:00:00
2024-07-25 05:00:00,46.46308333333333,2024-07-25 11:00:00
2024-07-25 06:00:00,45.50977777777778,2024-07-25 12:00:00
2024-07-25 07:00:00,40.497,2024-07-25 13:00:00
2024-07-25 08:00:00,32.698972222222224,2024-07-25 14:00:00
2024-07-25 09:00:00,33.498194444444444,2024-07-25 15:00:00
2024-07-25 10:00:00,36.65025,2024-07-25 16:00:00
2024-07-25 11:00:00,45.94488888888888,2024-07-25 17:00:00
2024-07-25 12:00:00,59.56513888888889,2024-07-25 18:00:00
2024-07-25 13:00:00,64.49394444444445,2024-07-25 19:00:00
2024-07-25 14:00:00,70.68697222222222,2024-07-25 20:00:00
2024-07-25 15:00:00,71.1153611111111,2024-07-25 21:00:00
2024-07-25 16:00:00,61.12097222222222,2024-07-25 22:00:00
2024-07-25 17:00:00,60.50286111111111,2024-07-25 23:00:00
2024-07-25 18:00:00,61.18098585554184,2024-07-26 00:00:00
2024-07-25 19:00:00,60.748444444444445,2024-07-26 01:00:00
2024-07-25 20:00:00,56.60211691239597,2024-07-26 02:00:00
2024-07-25 21:00:00,46.80151140649813,2024-07-26 03:00:00
