NAME,Explicit?,Formula,FullName,MW_g,INCHI,MCM Name,NOTES,,,,,,,,,,,,
NIT,True,NO3-,Inorganic nitrates,62.01,InChI=1S/NO3/c2-1(3)4/q-1,,,,,,,,,,,,,,
NITs,True,NO3-,Inorganic nitrates on surface of seasalt aerosol,31.4,InChI=1S/NO3/c2-1(3)4/q-1,,,,,,,,,,,,,,
NO,True,NO,Nitrogen oxide,30.01,InChI=1S/NO/c1-2,,,,,,,,,,,,,,
NO2,True,NO2,Nitrogen dioxide,46.01,InChI=1S/NO2/c2-1-3,,,,,,,,,,,,,,
NO3,True,NO3,Nitrate radical,62.01,InChI=1S/NO3/c2-1-4-3,,,,,,,,,,,,,,
NPHEN,False,C6H5NO3,Nitrophenols,139.11,"InChI=1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H",,,*,,,,,,,,,,,
NPRNO3,True,C3H7ONO2,n-propyl nitrate,105.11,"InChI=1S/C3H7NO3/c1-2-3-7-4(5)6/h2-3H2,1H3",,,,,,,,,,,,,,
NRO2,idk,C10H7O2,Peroxy radical from NAP oxidation,159.17,"InChI=1S/C10H9O3/c11-10-8-4-2-1-3-7(8)5-6-9(10)13-12/h1-6,9-11H",,,,,,,,,,,,,,
O,True,O(3P),Ground state atomic oxygen,16,InChI=1S/O,,,,,,,,,,,,,,
O1D,True,O(1D),Excited atomic oxygen (1D),16,InChI=1S/O,,,, ,,,,,,,,,,
O2,True,O2,Molecular oxygen,32,InChI=1S/O2/c1-2,,,,,,,,,,,,,,
O3,True,O3,Ozone,48,InChI=1S/O3/c1-3-2,,,,,,,,,,,,,,
OClO,True,OClO,Chlorine dioxide,67.45,InChI=1S/ClO2/c1-3-2,,,,,,,,,,,,,,
OCS,True,COS,Carbonyl sulfide,60.07,InChI=1S/COS/c2-1-3,,,,,,,,,,,,,,
OH,True,OH,Hydroxyl radical,17.01,InChI=1S/HO/h1H,,,,,,,,,,,,,,
OIO,True,OIO,Iodine dioxide,158.9,InChI=1S/IO2/c2-1-3,,,,,,,,,,,,,,
OLND,False,C10H16NO5,Monoterpene-derived NO3-alkene adduct,230.27,"InChI=1S/C10H16NO5/c1-7(2)8-4-5-10(3,16-14)9(6-8)15-11(12)13/h8-9H,1,4-6H2,2-3H3",,,,,,,,,,,,,,
OLNN,False,C10H16NO5,Monoterpene-derived NO3 adduct,230.27,"InChI=1S/C10H16NO5/c1-9(2)7-3-4-10(16-14,8(9)5-7)6-15-11(12)13/h7-8H,3-6H2,1-2H3;InChI=1S/C10H16NO5/c1-9(2)6-4-7(9)10(3,16-14)8(5-6)15-11(12)13/h6-8H,4-5H2,1-3H3;InChI=1S/C10H16NO5/c1-9(2)6-4-7(9)10(3,16-11(12)13)8(5-6)15-14/h6-8H,4-5H2,1-3H3;InChI=1S/C10H16NO5/c1-9(2)7-3-4-10(6-15-14,8(9)5-7)16-11(12)13/h7-8H,3-6H2,1-2H3",,,,,,,,,,,,,,
OTHRO2,True,CH3CH2OO,Other C2 RO2 not from C2H6 oxidation,61.07,"InChI=1S/C2H5O2/c1-2-4-3/h2H2,1H3",,,,,,,,,,,,,,
PAN,True,CH3C(O)OONO2,Peroxyacetyl nitrate,121.06,InChI=1S/C2H3NO5/c1-2(4)7-8-3(5)6/h1H3,,,,,,,,,,,,,,
PH2SO4,True,SO4,SO4 from gas-phase chemistry,96.06,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,,,,,,,,,,,,,
PHAN,True,C2H3NO6,Peroxyhydroxyacetic nitric anhydride (nitro 2-hydroxyethaneperoxoate  ),137.0483,"InChI=1S/C2H3NO6/c4-1-2(5)8-9-3(6)7/h4H,1H2",,,,,,,,,,,,,,
PHEN,True,C6H6O,Phenol,94.11,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",,,,,,,,,,,,,,
PIN,False,C10H17NO4,Saturated 1st gen monoterpene organic nitrate,215.28,,,,,,,,,,,,,,,
PINAL,True,C10H16O2,Pinonaldehyde,186.28,"InChI=1S/C10H16O2/c1-6(2)8-5-9(11)7(3)4-10(8)12/h4,6,8,10,12H,5H2,1-3H3/t8-,10+/m0/s1;InChI=1S/C10H16O2/c1-6(2)8-5-9(11)7(3)4-10(8)12/h4,6,8,10,12H,5H2,1-3H3/t8-,10-/m0/s1",,,,,,,,,,,,,,
PINO3,idk,C10H17O3,Acylperoxy radical from APIN,185.27,,,,,,,,,,,,,,,
PINO3H,idk,C10H18O4,Pinonic peracid,186.28,"InChI=1S/C10H18O4/c1-3-7-11-9(5-1)13-14-10-6-2-4-8-12-10/h9-10H,1-8H2",,,,,,,,,,,,,,
PINONIC,True,C10H18O3,Pinonic acid,186.28,"InChI=1S/C10H18O3/c1-2-13-9(12)10(8-11)6-4-3-5-7-10/h11H,2-8H2,1H3",,,,,,,,,,,,,,
PINPAN,idk,C10H17NO4,PAN from pinonaldehyde,215.28,,,,,,,,,,,,,,,
PIO2,False,C10H17O3,Peroxy radical from MTPA,185.27,"InChI=1S/C10H17O3/c1-9(2)6-4-7(9)10(3,13-12)8(11)5-6/h6-8,11H,4-5H2,1-3H3;InChI=1S/C10H17O3/c1-9(2)6-4-7(9)10(3,11)8(5-6)13-12/h6-8,11H,4-5H2,1-3H3;InChI=1S/C10H17O3/c1-9(2)7-3-4-10(6-11,13-12)8(9)5-7/h7-8,11H,3-6H2,1-2H3;InChI=1S/C10H17O3/c1-9(2)7-3-4-10(11,6-13-12)8(9)5-7/h7-8,11H,3-6H2,1-2H3;InChI=1S/C10H17O3/c1-10(2,13-12)9-5-3-8(7-11)4-6-9/h3,9,11H,4-7H2,1-2H3;InChI=1S/C10H17O3/c1-7(2)8-4-5-10(3,13-12)9(11)6-8/h8-9,11H,1,4-6H2,2-3H3;InChI=InChI=1S/C10H17O3/c1-7(11)4-5-8-9(13-12)6-10(8,2)3/h8-9H,4-6H2,1-3H3;1S/C10H17O3/c1-7(2)8-4-5-10(3,11)9(6-8)13-12/h8-9,11H,1,4-6H2,2-3H3;InChI=1S/C10H17O3/c1-8-3-5-9(6-4-8)10(2,7-11)13-12/h3,9,11H,4-7H2,1-2H3;",,,,,,,,,,,,,,
PIP,False,C10H18O3,Peroxide from MTPA,186.28,"InChI=1S/C10H18O3/c1-9(2)6-4-7(9)10(3,13-12)8(11)5-6/h6-8,11-12H,4-5H2,1-3H3;InChI=1S/C10H18O3/c1-9(2)6-4-7(9)10(3,11)8(5-6)13-12/h6-8,11-12H,4-5H2,1-3H3;InChI=1S/C10H18O3/c1-7-4-5-8(6-9(7)11)10(2,3)13-12/h4,8-9,11-12H,5-6H2,1-3H3;InChI=1S/C10H18O3/c1-9(2)7-3-4-10(6-11,13-12)8(9)5-7/h7-8,11-12H,3-6H2,1-2H3;InChI=1S/C10H18O3/c1-9(2)7-3-4-10(11,6-13-12)8(9)5-7/h7-8,11-12H,3-6H2,1-2H3;InChI=1S/C10H18O3/c1-10(2,13-12)9-5-3-8(7-11)4-6-9/h3,9,11-12H,4-7H2,1-2H3;InChI=1S/C10H18O3/c1-7(11)4-5-8-9(13-12)6-10(8,2)3/h8-9,12H,4-6H2,1-3H3",,,,,,,,,,,,,,
PO2,idk,HOCH2CH(OO)CH3,Peroxy radical from propene,91.1,"InChI=1S/C3H7O3/c1-3(4)2-6-5/h3-4H,2H2,1H3;	InChI=1S/C3H7O3/c1-3(2-4)6-5/h3-4H,2H2,1H3",HYPROPO2,"Not sure if this is lumped … MCM has 2 RO2s from Propene +OH (HYPROPO2 and IPROPOLO2). Mech makes it look like it should be lumped, but Formula used in species database/mechanism makes it look like only HYPROPO2.  So, other potential INCHI of this is that of IPROPOLO2: InChI=1S/C3H7O3/c1-3(4)2-6-5/h3-4H,2H2,1H3",,,,,,,,,,,,
PP,idk,HOCH2CH(OOH)CH3,Peroxide from PO2,92.11," InChI=1S/C3H8O3/c1-3(2-4)6-5/h3-5H,2H2,1H3",HYPROPO2H,"Same question as above… 2 PO2s = 2 dif isomers…  Other MCM species is IPROPOLO2H … potential INCHI is: InChI=1S/C3H8O3/c1-3(4)2-6-5/h3-5H,2H2,1H3",,,,,,,,,,,,
PPN,False,CH3CH2C(O)OONO2,Lumped peroxypropionyl nitrate,135.08,"InChI=1S/C3H5NO5/c1-2-3(5)8-9-4(6)7/h2H2,1H3",,,*,,,,,,,,,,,
PRN1,idk,O2NOCH2CH(OO)CH3,Peroxy radical from propene + NO3,136.09,"InChI=1S/C3H6NO5/c1-3(2-8-7)9-4(5)6/h3H,2H2,1H3;InChI=1S/C3H6NO5/c1-3(9-7)2-8-4(5)6/h3H,2H2,1H3",,,,,,,,,,,,,,
PROPNN,True,CH3C(=O)CH2ONO2,Propanone nitrate,119.08,"InChI=1S/C3H5NO4/c1-3(5)2-8-4(6)7/h2H2,1H3",,,,,,,,,,,,,,
PRPE,False,C3H6,Lumped >= C3 alkenes,42.09,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3",,,*,,,,,,,,,,,
PRPN,idk,O2NOCH2CH(OOH)CH3,Peroxide from PRN1,137.11,"InChI=1S/C3H7NO5/c1-3(9-7)2-8-4(5)6/h3,7H,2H2,1H3;	InChI=1S/C3H7NO5/c1-3(2-8-7)9-4(5)6/h3,7H,2H2,1H3",,,,,,,,,,,,,,
PSO4AQ,True,SO4,SO4 from cloud chemistry,96.06,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,,,,,,,,,,,,,
PYAC,True,C3H4O3,Pyruvic acid,88.07,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)",,,,,,,,,,,,,,
R4N1,idk,C4H8NO5,Peroxy radical from R4N2,150.13,,,,,,,,,,,,,,,
R4N2,False,RO2NO,Lumped alkyl nitrate,119.1,"InChI=1S/C4H9NO3/c1-2-3-4-8-5(6)7/h2-4H2,1H3;InChI=1S/C4H9NO3/c1-3-4(2)8-5(6)7/h4H,3H2,1-2H3;InChI=1S/C4H9NO3/c1-4(2)3-8-5(6)7/h4H,3H2,1-2H3;InChI=1S/C4H9NO3/c1-4(2,3)8-5(6)7/h1-3H3",,Same as ALK4N2?,,,,,,,,,,,,
R4O2,False,C4H9O2,Peroxy radical from isoprene and MTPA alkyl generation (& from ALK4),89.13,,,,,,,,,,,,,,,
R4P,False,CH3CH2CH2CH2OOH,Peroxide from R4O2 (ALK4O2),90.14,"InChI=1S/C4H10O2/c1-2-3-4-6-5/h5H,2-4H2,1H3;InChI=1S/C4H10O2/c1-3-4(2)6-5/h4-5H,3H2,1-2H3;InChI=1S/C4H10O2/c1-4(2)3-6-5/h4-5H,3H2,1-2H3;InChI=1S/C4H10O2/c1-4(2,3)6-5/h5H,1-3H3",NC4H9OOH;SC4H9OOH;IC4H9OOH;TC4H9OOH,"Same as ALK4O2… Is RO2, has OOH group on it, has right # of Cs n Hs.",,,,,,,,,,,,
R7N1,idk,C7H15NO5,Peroxy radical from R7N2,161.2,,,,,,,,,,,,,,,
R7N2,False,RO2NO,C7 Lumped alkyl nitrate,161.2,,,,,,,,,,,,,,,
R7O2,False,C7H15O2,Peroxy radical from ALK6,131.19,,,,,,,,,,,,,,,
R7P,idk,C7H16O2,Peroxide from R7O2,132.2,,,,,,,,,,,,,,,
RA3P,idk,CH3CH2CH2OOH,Peroxide from A3O2,76.11,"InChI=1S/C3H8O2/c1-2-3-5-4/h4H,2-3H2,1H3",,,,,,,,,,,,,,
RB3P,idk,CH3CH(OOH)CH3,Peroxide from B3O2,76.11,"InChI=1S/C3H8O2/c1-3(2)5-4/h3-4H,1-2H3",,,,,,,,,,,,,,
RCHO,False,CH3CH2CHO,Lumped aldehyde >= C3,58.09,"InChI=1S/C3H6O/c1-2-3-4/h3H,2H2,1H3",,,*,,,,,,,,,,,
RCO3,True,CH3CH2C(O)OO,Peroxypropionyl radical,89.08,"InChI=1S/C3H6O3/c1-2-3(4)6-5/h5H,2H2,1H3",,,,,,,,,,,,,,
RCOOH,False,C2H5C(O)OH,> C2 organic acids,74.09,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",,,*,,,,,,,,,,,
RIPA,idk,C5H10O3,"1,2-ISOPOOH",118.15,"InChI=1S/C5H10O3/c1-3-5(2,4-6)8-7/h3,6-7H,1,4H2,2H3",,,,,,,,,,,,,,
RIPB,idk,C5H10O3,"4,3-ISOPOOH",118.15,"InChI=1S/C5H10O3/c1-4(2)5(3-6)8-7/h5-7H,1,3H2,2H3",,,,,,,,,,,,,,
RIPC,idk,C5H10O3,"d-1,4-ISOPOOH",118.15,"InChI=1S/C5H10O3/c1-5(4-6)2-3-8-7/h2,6-7H,3-4H2,1H3/b5-2+;InChI=1S/C5H10O3/c1-5(4-6)2-3-8-7/h2,6-7H,3-4H2,1H3/b5-2-",,,,,,,,,,,,,,
RIPD,idk,C5H10O3,"d-4,1-ISOPOOH",118.15,"InChI=1S/C5H10O3/c1-5(2-3-6)4-8-7/h2,6-7H,3-4H2,1H3/b5-2+;InChI=1S/C5H10O3/c1-5(2-3-6)4-8-7/h2,6-7H,3-4H2,1H3/b5-2-",,,,,,,,,,,,,,
RNO3,False,RO2NO,Lumped aromatic nitrate,203.15,,,,,,,,,,,,,,,
ROH,False,C3H7OH,> C2 alcohols,60.11,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,*,,,,,,,,,,,
SALAAL,NA,,Accumulation mode sea salt alkalinity,31.4,,,,,,,,,,,,,,,
SALACL,True,Cl-,Chloride in Accumulation mode sea salt aerosol,35.45,InChI=1S/ClH/h1H/p-1,,,,,,,,,,,,,,
SALCAL,NA,,Coarse mode sea salt alkalinity,31.4,,,,,,,,,,,,,,,
SALCCL,True,Cl-,Chloride in Coarse mode sea salt aerosol,35.45,InChI=1S/ClH/h1H/p-1,,,,,,,,,,,,,,
SO2,True,SO2,Sulfur dioxide,64.04,InChI=1S/O2S/c1-3-2,,,,,,,,,,,,,,
SO4,True,SO4,Sulfate,96.06,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,,,,,,,,,,,,,
SO4s,True,SO4,Sulfate on surface of seasalt aerosol,31.4,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,,,,,,,,,,,,,
SOAGX,True,C2H2O2,Aerosol-phase glyoxal,58.04,"InChI=1S/C2H2O2/c3-1-2-4/h1-2H;InChI=1S/C3H4O2/c1-3(5)2-4/h2H,1H3;InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)",,,,,,,,,,,,,,
SOAIE,False,C5H10O3,Aerosol-phase IEPOX,118.15,"InChI=1S/C4H6O3/c1-4(2-5)3(6)7-4/h5H,2H2,1H3;InChI=1S/C5H10O3/c1-5(3-7)4(2-6)8-5/h4,6-7H,2-3H2,1H3;InChI=1S/C5H10O3/c1-5(7,3-6)4-2-8-4/h4,6-7H,2-3H2,1H3;InChI=1S/C5H8O3/c1-5(3-8-5)4(7)2-6/h6H,2-3H2,1H3",,,,,,,,,,,,,,
STYR,True,C8H8,Styrene,104.1491,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",,,,,,,,,,,,,,
TLFUO2,idk,C5H7O5,,147.1,,,,,,,,,,,,,,,
TLFUONE,False,C5H6O2,Aromatic furanones,98.1,,,,*,,,,,,,,,,,
TMB,False,C8H10,Trimethylbenzenes,106.167,,,,*,,,,,,,,,,,
TOLU,True,C7H8,Toluene,92.15,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",,,,,,,,,,,,,,
TRO2,False,C7H9O5,Peroxy radical from TOLU oxidation,173.16,"InChI=1S/C7H7O2/c8-9-6-7-4-2-1-3-5-7/h1-5H,6H2;InChI=1S/C7H9O5/c1-7-3-2-4(10-9)5(6(7)8)11-12-7/h2-6,8H,1H3",,,,,,,,,,,,,,
XRO2,idk,C8H11O5,Peroxy radical from TOLU oxidation,187.19,,,,,,,,,,,,,,,
XYLE,True,C8H10,Xylene,106.18,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3;InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3;InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",,,,,,,,,,,,,,
ZRO2,False,C7H9O5,RO2 for making lumped aromatic nitrate,173.16,,,,,,,,,,,,,,,
