NAME,Explicit?,Formula,FullName,MW_g,INCHI,MCM Name,NOTES,,,,,,,,,,,,
H2O2,True,H2O2,Hydrogen peroxide,34.02,InChI=1S/H2O2/c1-2/h1-2H,,,,,,,,,,,,,,
HAC,True,HOCH2C(O)CH3,Hydroxyacetone,74.08,"InChI=1S/C3H6O2/c1-3(5)2-4/h4H,2H2,1H3",,,,,,,,,,,,,,
HACTA,True,HOCH2CO2H,Hydroxyacetic/glycolic acid,76.0514,"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)",,,,,,,,,,,,,,
HBr,True,HBr,Hypobromic acid,80.91,InChI=1S/BrH/h1H,,,,,,,,,,,,,,
HC5A,idk,C5H8O2,"isoprene-4,1-hydroxyaldehyde",100.13,"InChI=1S/C5H8O2/c1-5(4-7)2-3-6/h2,4,6H,3H2,1H3;InChI=1S/C5H8O2/c1-5(4-7)2-3-6/h2,4,6H,3H2,1H3/b5-2-;InChI=1S/C5H8O2/c1-5(4-7)2-3-6/h2-3,7H,4H2,1H3;InChI=1S/C5H8O2/c1-5(4-7)2-3-6/h2-3,7H,4H2,1H3/b5-2-",,,,,,,,,,,,,,
HCFC123,True,C2HCl2F3,"HCFC-123, Freon 123",152.93,"InChI=1S/C2HCl2F3/c3-1(4)2(5,6)7/h1H",,,,,,,,,,,,,,
HCFC141b,True,C(CH3)Cl2F,"HCFC-141b, Freon 141b",116.94,"InChI=1S/C2H3Cl2F/c1-2(3,4)5/h1H3",,,,,,,,,,,,,,
HCFC142b,True,C(CH3)ClF2,"HCFC-142b, Freon 142b",100.5,"InChI=1S/C2H3ClF2/c1-2(3,4)5/h1H3",,,,,,,,,,,,,,
HCFC22,True,CHClF2,"HCFC-22, Freon 22",86.47,InChI=1S/CHClF2/c2-1(3)4/h1H,,,,,,,,,,,,,,
HCl,True,HCl,Hydrochloric acid,36.45,InChI=1S/ClH/h1H,,,,,,,,,,,,,,
HCOOH,True,HCOOH,Formic acid,46.03,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",,,,,,,,,,,,,,
HI,True,HI,Hydrogen iodide,127.91,InChI=1S/HI/h1H,,,,,,,,,,,,,,
HMHP,True,HOCH2OOH,Hydroxymethyl hydroperoxide,64.05,"InChI=1S/CH4O3/c2-1-4-3/h2-3H,1H2",,,,,,,,,,,,,,
HMML,True,C4H6O3,hydroxymethyl-methyl-a-lactone,102.1,"InChI=1S/C4H6O3/c5-4(6)3-1-7-2-3/h3H,1-2H2,(H,5,6)",,,,,,,,,,,,,,
HMS,True,HOCH2SO3−,Hydroxymethanesulfonate,111.1,"InChI=1S/CH4O4S/c2-1-6(3,4)5/h2H,1H2,(H,3,4,5)/p-1",,,,,,,,,,,,,,
HNO2,True,HNO2,Nitrous acid,47.01,"InChI=1S/HNO2/c2-1-3/h(H,2,3)",,,,,,,,,,,,,,
HNO3,True,HNO3,Nitric acid,63.01,"InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)",,,,,,,,,,,,,,
HNO4,True,HNO4,Peroxynitric acid,79.01,InChI=1S/HNO4/c2-1(3)5-4/h4H,,,,,,,,,,,,,,
HO2,True,HO2,Hydroperoxyl radical,33.01,InChI=1S/HO2/c1-2/h1H,,,,,,,,,,,,,,
HOBr,True,HOBr,Hypobromous acid,96.91,InChI=1S/BrHO/c1-2/h2H,,,,,,,,,,,,,,
HOCl,True,HOCl,Hypochlorous acid,52.45,InChI=1S/ClHO/c1-2/h2H,,,,,,,,,,,,,,
HOI,True,HOI,Hypoiodous acid,143.89,InChI=1S/HIO/c1-2/h2H,,,,,,,,,,,,,,
HONIT,False,,2nd gen monoterpene organic nitrate,215,,,,,,,,,,,,,,,
HPALD1,True,C5H8O3,"d-4,1-C5-hydroperoxyaldehyde",116.13,"InChI=1S/C5H8O3/c1-5(4-6)2-3-8-7/h2,4,7H,3H2,1H3/b5-2-",,,,,,,,,,,,,,
HPALD1OO,idk,C5H7O5,HPALD1OO,147.12,"InChI=1S/C5H7O5/c1-3-5(2,10-8)4(6)9-7/h3,7H,1H2,2H3",,,,,,,,,,,,,,
HPALD2,True,C5H8O3,"d-1,4-C5-hydroperoxyaldehyde",116.13,"InChI=1S/C5H8O3/c1-5(2-3-6)4-8-7/h2-3,7H,4H2,1H3/b5-2-",,,,,,,,,,,,,,
HPALD2OO,idk,C5H7O5,HPALD2OO,147.12,"InChI=1S/C5H7O5/c1-3(2)4(9-7)5(6)10-8/h4,8H,1H2,2H3",,,,,,,,,,,,,,
HPALD3,True,C5H8O3,"b-2,1-C5-hydroperoxyaldehyde",116.13,"InChI=1S/C5H8O3/c1-3-5(2,4-6)8-7/h3-4,7H,1H2,2H3",,,,,,,,,,,,,,
HPALD4,True,C5H8O3,"b-3,4-C5-hydroperoxyaldehyde",116.13,"InChI=1S/C5H8O3/c1-4(2)5(3-6)8-7/h3,5,7H,1H2,2H3",,,,,,,,,,,,,,
HPETHNL,True,HOOCH2CHO,Hydroperoxy ethanal,76.06,"InChI=1S/C2H4O3/c3-1-2-5-4/h1,4H,2H2",,,,,,,,,,,,,,
I,True,I,Atomic iodine,126.9,InChI=1S/I,,,,,,,,,,,,,,
I2,True,I2,Molecular iodine,253.8,InChI=1S/I2/c1-2,,,,,,,,,,,,,,
I2O2,True,I2O2,Diiodine dioxide,285.8,InChI=1S/I2O2/c1-3-4-2,,,,,,,,,,,,,,
I2O3,True,I2O3,Diiodine trioxide,301.8,InChI=1S/I2O3/c1-3-5-4-2,,,,,,,,,,,,,,
I2O4,True,I2O4,Diiodine tetraoxide,317.8,InChI=1S/I2O4/c3-1-6-2(4)5,,,,,,,,,,,,,,
IBr,True,IBr,Iodine monobromide,206.9,InChI=1S/BrI/c1-2,,,,,,,,,,,,,,
ICHE,False,C5H8O3,Isoprene hydroxy-carbonyl-epoxides,116.13,"InChI=1S/C5H8O3/c1-5(3-8-5)4(7)2-6/h6H,2-3H2,1H3",,,,,,,,,,,,,,
ICHOO,idk,C5H9O5,Peroxy radical from IEPOXD,149.14,"InChI=1S/C5H9O5/c1-5(3-7,10-9)4(8)2-6/h6-7H,2-3H2,1H3",,,,,,,,,,,,,,
ICl,True,ICl,Iodine monochloride,162.45,InChI=1S/ClI/c1-2,,,,,,,,,,,,,,
ICN,False,C5H7NO4,Lumped isoprene carbonyl-nitrates,145.13,"InChI=1S/C5H7NO4/c1-4(2)5(7)3-10-6(8)9/h1,3H2,2H3;InChI=1S/C5H7NO4/c1-5(2-3-7)4-10-6(8)9/h2-3H,4H2,1H3;InChI=1S/C5H7NO4/c1-5(2-3-7)4-10-6(8)9/h2-3H,4H2,1H3/b5-2+;InChI=1S/C5H7NO4/c1-5(4-7)2-3-10-6(8)9/h2,4H,3H2,1H3/b5-2+",,,,,,,,,,,,,,
ICNOO,idk,C5H8NO7,Peroxy radicals from ICN,194.14,"InChI=1S/C5H6NO6/c1-4(2-5(7)12-10)3-11-6(8)9/h2H,3H2,1H3;InChI=1S/C5H6NO6/c1-4(2-5(7)12-10)3-11-6(8)9/h2H,3H2,1H3/b4-2+;InChI=1S/C5H6NO6/c1-4(5(7)12-10)2-3-11-6(8)9/h2H,3H2,1H3/b4-2+",,,,,,,,,,,,,,
