2024-08-24 17:55:43,354 - value: -55.11
2024-08-24 17:55:44,158 - value: -55.12
2024-08-24 17:55:45,060 - value: -55.13
2024-08-24 17:55:45,967 - value: -55.17
2024-08-24 17:55:46,872 - value: -55.19
2024-08-24 17:55:47,777 - value: -55.22
2024-08-24 17:55:48,680 - value: -55.28
2024-08-24 17:55:49,586 - value: -55.32
2024-08-24 17:55:50,487 - value: -55.40
2024-08-24 17:55:51,392 - value: -55.45
2024-08-24 17:55:52,196 - value: -55.40
2024-08-24 17:55:53,100 - value: -55.58
2024-08-24 17:55:54,003 - value: -55.55
2024-08-24 17:55:54,806 - value: -55.53
2024-08-24 17:55:55,710 - value: -55.60
2024-08-24 17:55:56,617 - value: -55.67
2024-08-24 17:55:57,521 - value: -55.67
2024-08-24 17:55:58,426 - value: -55.61
2024-08-24 17:55:59,331 - value: -55.61
2024-08-24 17:56:00,134 - value: -55.67
2024-08-24 17:56:01,141 - value: -55.75
2024-08-24 17:56:02,146 - value: -55.80
2024-08-24 17:56:02,949 - value: -55.80
2024-08-24 17:56:03,851 - value: -55.78
2024-08-24 17:56:04,755 - value: -55.77
2024-08-24 17:56:05,659 - value: -55.86
2024-08-24 17:56:06,564 - value: -55.94
2024-08-24 17:56:07,468 - value: -56.07
2024-08-24 17:56:08,273 - value: -56.07
2024-08-24 17:56:09,279 - value: -56.12
2024-08-24 17:56:10,208 - value: -56.17
2024-08-24 17:56:10,989 - value: -56.21
2024-08-24 17:56:11,891 - value: -56.25
2024-08-24 17:56:12,797 - value: -56.28
2024-08-24 17:56:13,703 - value: -56.33
2024-08-24 17:56:14,606 - value: -56.38
2024-08-24 17:56:15,511 - value: -56.42
2024-08-24 17:56:16,412 - value: -56.44
2024-08-24 17:56:17,318 - value: -56.41
2024-08-24 17:56:18,222 - value: -56.38
2024-08-24 17:56:19,126 - value: -56.37
2024-08-24 17:56:20,032 - value: -56.49
2024-08-24 17:56:20,937 - value: -56.59
2024-08-24 17:56:21,842 - value: -56.63
2024-08-24 17:56:22,745 - value: -56.63
2024-08-24 17:56:23,651 - value: -56.62
2024-08-24 17:56:24,456 - value: -56.61
2024-08-24 17:56:25,359 - value: -56.58
2024-08-24 17:56:26,263 - value: -56.55
2024-08-24 17:56:27,068 - value: -56.55
2024-08-24 17:56:28,073 - value: -56.57
2024-08-24 17:56:28,980 - value: -56.62
2024-08-24 17:56:29,784 - value: -56.72
2024-08-24 17:56:30,688 - value: -56.75
2024-08-24 17:56:31,592 - value: -56.79
2024-08-24 17:56:32,499 - value: -56.91
2024-08-24 17:56:33,404 - value: -56.96
2024-08-24 17:56:34,308 - value: -56.96
2024-08-24 17:56:35,211 - value: -56.93
2024-08-24 17:56:36,116 - value: -57.03
2024-08-24 17:56:37,119 - value: -57.11
2024-08-24 17:56:37,924 - value: -57.12
2024-08-24 17:56:38,828 - value: -57.10
2024-08-24 17:56:39,731 - value: -57.05
2024-08-24 17:56:40,636 - value: -57.05
2024-08-24 17:56:41,540 - value: -57.18
2024-08-24 17:56:42,342 - value: -57.26
2024-08-24 17:56:43,249 - value: -57.28
2024-08-24 17:56:44,152 - value: -57.31
2024-08-24 17:56:45,056 - value: -57.31
2024-08-24 17:56:45,860 - value: -57.26
2024-08-24 17:56:46,766 - value: -57.30
2024-08-24 17:56:47,668 - value: -57.37
2024-08-24 17:56:48,576 - value: -57.37
2024-08-24 17:56:49,481 - value: -57.36
2024-08-24 17:56:50,387 - value: -57.41
2024-08-24 17:56:51,290 - value: -57.49
2024-08-24 17:56:52,196 - value: -57.49
2024-08-24 17:56:53,099 - value: -57.48
2024-08-24 17:56:54,004 - value: -57.49
2024-08-24 17:56:54,909 - value: -57.49
2024-08-24 17:56:55,810 - value: -57.58
2024-08-24 17:56:56,714 - value: -57.65
2024-08-24 17:56:57,619 - value: -57.68
2024-08-24 17:56:58,521 - value: -57.67
2024-08-24 17:56:59,424 - value: -57.63
2024-08-24 17:57:00,330 - value: -57.67
2024-08-24 17:57:01,235 - value: -57.71
2024-08-24 17:57:02,040 - value: -57.70
2024-08-24 17:57:03,044 - value: -57.70
2024-08-24 17:57:03,950 - value: -57.70
2024-08-24 17:57:04,753 - value: -57.72
2024-08-24 17:57:05,657 - value: -57.72
2024-08-24 17:57:06,564 - value: -57.73
2024-08-24 17:57:07,472 - value: -57.73
2024-08-24 17:57:08,372 - value: -57.78
2024-08-24 17:57:09,278 - value: -57.83
2024-08-24 17:57:10,185 - value: -57.86
2024-08-24 17:57:11,090 - value: -57.87
2024-08-24 17:57:12,038 - value: -57.89
2024-08-24 17:57:12,795 - value: -57.96
2024-08-24 17:57:13,700 - value: -58.08
2024-08-24 17:57:14,604 - value: -58.21
2024-08-24 17:57:15,508 - value: -58.25
2024-08-24 17:57:16,414 - value: -58.25
2024-08-24 17:57:17,420 - value: -58.25
2024-08-24 17:57:18,325 - value: -58.23
2024-08-24 17:57:19,231 - value: -58.21
2024-08-24 17:57:20,133 - value: -58.19
2024-08-24 17:57:20,937 - value: -58.29
2024-08-24 17:57:21,842 - value: -58.42
2024-08-24 17:57:22,746 - value: -58.48
2024-08-24 17:57:23,549 - value: -58.53
2024-08-24 17:57:24,454 - value: -58.54
2024-08-24 17:57:25,358 - value: -58.56
2024-08-24 17:57:26,263 - value: -58.52
2024-08-24 17:57:27,168 - value: -58.46
2024-08-24 17:57:28,071 - value: -58.40
2024-08-24 17:57:28,917 - value: -58.36
2024-08-24 17:57:29,780 - value: -58.41
2024-08-24 17:57:30,783 - value: -58.47
2024-08-24 17:57:31,587 - value: -58.55
2024-08-24 17:57:32,490 - value: -58.58
2024-08-24 17:57:33,394 - value: -58.58
2024-08-24 17:57:34,298 - value: -58.69
2024-08-24 17:57:35,203 - value: -58.73
2024-08-24 17:57:36,110 - value: -58.73
2024-08-24 17:57:37,014 - value: -58.68
2024-08-24 17:57:38,021 - value: -58.69
2024-08-24 17:57:38,926 - value: -58.75
2024-08-24 17:57:39,730 - value: -58.80
2024-08-24 17:57:40,633 - value: -58.82
2024-08-24 17:57:41,540 - value: -58.80
2024-08-24 17:57:42,444 - value: -58.86
2024-08-24 17:57:43,349 - value: -58.93
2024-08-24 17:57:44,252 - value: -58.96
2024-08-24 17:57:45,160 - value: -58.92
2024-08-24 17:57:46,067 - value: -58.91
2024-08-24 17:57:46,968 - value: -59.01
2024-08-24 17:57:47,771 - value: -59.04
2024-08-24 17:57:48,679 - value: -59.07
2024-08-24 17:57:49,581 - value: -59.08
