,Br2_CIMS,BrO_CIMS,Cl2_CIMS,ClNO2_CIMS,BrCl_CIMS,NO_LIF,NO2_LIF,N2O5_CIMS,HNO3_CIMS,Methanol_PTR,Acetonitrile_PTR,Acetaldehyde_PTR,Ethanol_PTR,Acrolein_PTR,DMS_PTR,Isoprene_PTR,MVK_MACR_PTR,Benzene_PTR,Toluene_PTR,Styrene_PTR,Monoterpenes_PTR,PAN_CIMS,PPN_CIMS,HCOOH_CIMS,HONO_CIMS,O3_ppbv,Temp_K,Pressure_mb,WindSpd_ms,jNO2_meas,CH4_Piccaro,CO_Piccaro,HCHO_CRDS,H2O_CRDS,CH4_CRDS,RH_percent
2024-08-09,1.0,8.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-10,2.0,17.0,2.0,2.0,2.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-11,0.0,4.0,0.0,0.0,0.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0
2024-08-12,0.0,14.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-13,0.0,7.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,0.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2024-08-15,9.0,13.0,9.0,9.0,10.0,6.0,6.0,25.0,9.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,31.0,31.0,9.0,9.0,6.0,6.0,6.0,6.0,16.0,8.0,8.0,8.0,6.0,8.0,6.0
2024-08-16,8.0,11.0,8.0,8.0,8.0,6.0,6.0,33.0,10.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,24.0,24.0,10.0,12.0,6.0,6.0,6.0,6.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0
2024-08-17,27.0,28.0,26.0,26.0,27.0,0.0,0.0,33.0,26.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,40.0,40.0,26.0,26.0,0.0,12.0,12.0,12.0,2.0,0.0,0.0,2.0,2.0,3.0,12.0
2024-08-18,36.0,36.0,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,0.0,29.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
