Index,Varname,Duplicate_name,Expected_tracers
82,x3_x4_EthylToluene_WAS,mpEthyltoluene,x135_TriMethylBenzene_WAS; x135_Trimethylbenzene; x2_EthylToluene_WAS; oEthyltoluene; x124_TriMethylBenzene_WAS; x124_Trimethylbenzene; C9Aromatics_PTR; CO_Piccaro
83,x13_Butadiene_WAS,buta13diene,Ethene_WAS; Ethylene; Ethyne_WAS; Acetylene; Acrolein_PTR; Benzene_WAS; Benzene_PTR; Benzene; CO_Piccaro; NO_LIF
84,nPropylBenzene_WAS,nPropylbenzene,x135_TriMethylBenzene_WAS; x135_Trimethylbenzene; C9Aromatics_PTR; x124_TriMethylBenzene_WAS; x124_Trimethylbenzene; x3_x4_EthylToluene_WAS; mpEthyltoluene; Toluene_WAS; Toluene_PTR; Toluene; CO_Piccaro
85,x2_EthylToluene_WAS,oEthyltoluene,x3_x4_EthylToluene_WAS; mpEthyltoluene; x135_TriMethylBenzene_WAS; x135_Trimethylbenzene; x124_TriMethylBenzene_WAS; x124_Trimethylbenzene; C9Aromatics_PTR; CO_Piccaro
86,x124_TriMethylBenzene_WAS,x124_Trimethylbenzene,x124_Trimethylbenzene; x135_TriMethylBenzene_WAS; x135_Trimethylbenzene; x123_TriMethylBenzene_WAS; x123_Trimethylbenzene; x3_x4_EthylToluene_WAS; mpEthyltoluene; C9Aromatics_PTR; CO_Piccaro
87,iPropylBenzene_WAS,Isopropylbenzene,x135_TriMethylBenzene_WAS; x135_Trimethylbenzene; C9Aromatics_PTR; x124_TriMethylBenzene_WAS; x124_Trimethylbenzene; nPropylBenzene_WAS; nPropylbenzene; CO_Piccaro
88,x123_TriMethylBenzene_WAS,x123_Trimethylbenzene,x124_TriMethylBenzene_WAS; x124_Trimethylbenzene; x135_TriMethylBenzene_WAS; x135_Trimethylbenzene; C9Aromatics_PTR; CO_Piccaro
89,MethylCycloPentane_WAS,Methylcyclopentane,nHexane_WAS; nHexane; x2_MethylPentane_WAS; x2_Methylpentane; x3_MethylPentane_WAS; x3_Methylpentane; MethylCycloHexane_WAS; Methylcyclohexane; Cyclohexane; CO_Piccaro
90,x3_MethylPentane_WAS,x3_Methylpentane,x2_MethylPentane_WAS; x2_Methylpentane; nHexane_WAS; nHexane; x22_DiMethylButane_WAS; x22_Dimethylbutane; MethylCycloPentane_WAS; Methylcyclopentane; CO_Piccaro
91,x2_MethylPentane_WAS,x2_Methylpentane,x3_MethylPentane_WAS; x3_Methylpentane; nHexane_WAS; nHexane; x22_DiMethylButane_WAS; x22_Dimethylbutane; MethylCycloPentane_WAS; Methylcyclopentane; CO_Piccaro
92,x1_Butene_WAS,But1ene,Propene_WAS; Propylene; Ethene_WAS; Ethylene; c2Butene_WAS; cis2Butene; t2Butene_WAS; trans2Butene; Ethyne_WAS; Acetylene; CO_Piccaro; NO_LIF
93,CycloPentane_WAS,Cyclopentane,MethylCycloPentane_WAS; Methylcyclopentane; nPentane_WAS; nPentane; iPentane_WAS; Isopentane; CO_Piccaro
94,x22_DiMethylButane_WAS,x22_Dimethylbutane,x2_MethylPentane_WAS; x2_Methylpentane; x3_MethylPentane_WAS; x3_Methylpentane; nHexane_WAS; nHexane; CO_Piccaro
95,x1_Pentene_WAS,Pent1ene,x1_Butene_WAS; But1ene; Propene_WAS; Propylene; Ethene_WAS; Ethylene; c2Pentene_WAS; cis2Pentene; t2Pentene_WAS; trans2Pentene; CO_Piccaro
