dt,USOS O3,UDAQ O3,merged_ozone,8hr_rolling_avg_USOS O3,MDA8_O3_USOS O3,Exceedance_day_USOS O3,8hr_rolling_avg_UDAQ O3,MDA8_O3_UDAQ O3,Exceedance_day_UDAQ O3,8hr_rolling_avg_merged_ozone,MDA8_O3_merged_ozone,Exceedance_day_merged_ozone
2024-07-19 12:00:00,59.80122222222222,70.0,59.80122222222222,44.03991666666666,69.28827335011427,False,46.75,63.375,False,44.03991666666666,69.28827335011427,False
2024-07-19 13:00:00,76.29333333333334,71.0,76.29333333333334,48.649875,69.28827335011427,False,51.375,63.375,False,48.649875,69.28827335011427,False
2024-07-19 14:00:00,78.11308979605762,68.0,78.11308979605762,53.53617789117387,69.28827335011427,False,56.125,63.375,False,53.53617789117387,69.28827335011427,False
2024-07-19 15:00:00,74.5518888888889,62.0,74.5518888888889,58.02612233561832,69.28827335011427,False,60.125,63.375,False,58.02612233561832,69.28827335011427,False
2024-07-19 16:00:00,70.01877777777779,58.0,70.01877777777779,63.303830668951655,69.28827335011427,False,62.25,63.375,False,63.303830668951655,69.28827335011427,False
2024-07-19 17:00:00,66.14411111111112,58.0,66.14411111111112,66.63578900228498,69.28827335011427,False,63.125,63.375,False,66.63578900228498,69.28827335011427,False
2024-07-19 18:00:00,65.82554144930096,57.0,65.82554144930096,68.64964835011428,69.28827335011427,False,63.375,63.375,False,68.64964835011428,69.28827335011427,False
2024-07-19 19:00:00,63.32522222222222,52.0,63.32522222222222,69.25914835011426,69.28827335011427,False,62.0,63.375,False,69.25914835011426,69.28827335011427,False
2024-07-19 20:00:00,60.03422222222222,47.0,60.03422222222222,69.28827335011427,69.28827335011427,False,59.125,63.375,False,69.28827335011427,69.28827335011427,False
2024-07-19 21:00:00,50.82555555555555,48.0,50.82555555555555,66.10480112789205,69.28827335011427,False,56.25,63.375,False,66.10480112789205,69.28827335011427,False
2024-07-19 22:00:00,51.11244444444444,46.0,51.11244444444444,62.7297204589404,69.28827335011427,False,53.5,63.375,False,62.7297204589404,69.28827335011427,False
2024-07-19 23:00:00,50.02444444444445,47.0,50.02444444444445,59.663789903384846,69.28827335011427,False,51.625,63.375,False,59.663789903384846,69.28827335011427,False
2024-07-20 00:00:00,50.30522222222223,46.0,50.30522222222223,57.199595458940394,67.59528909402559,False,50.125,63.25,False,57.199595458940394,67.59528909402559,False
2024-07-20 01:00:00,49.906222222222226,44.0,49.906222222222226,55.16985934782929,67.59528909402559,False,48.375,63.25,False,55.16985934782929,67.59528909402559,False
2024-07-20 02:00:00,48.019777777777776,40.0,48.019777777777776,52.944138888888894,67.59528909402559,False,46.25,63.25,False,52.944138888888894,67.59528909402559,False
2024-07-20 03:00:00,45.745555555555555,42.0,45.745555555555555,50.74668055555556,67.59528909402559,False,45.0,63.25,False,50.74668055555556,67.59528909402559,False
